AGS,GEN,treatment,treated_0,treated_10,treated_20,treated_30,treated_50,treated_100
08315130,Münstertal/Schwarzwald,None,0,0,0,0,0,0
08315084,Oberried,None,0,0,0,0,0,0
08311000,Freiburg im Breisgau,None,0,0,0,0,0,0
08337066,Laufenburg (Baden),None,0,0,0,0,0,0
07337058,Oberhausen,100,0,0,0,0,0,1
07337060,Oberschlettenbach,100,0,0,0,0,0,1
08417057,Schömberg,None,0,0,0,0,0,0
08416031,Ofterdingen,None,0,0,0,0,0,0
08118076,Sachsenheim,50,0,0,0,0,1,1
08236046,Niefern-Öschelbronn,100,0,0,0,0,0,1
08325064,Wellendingen,None,0,0,0,0,0,0
08337108,Todtmoos,None,0,0,0,0,0,0
08316039,Sexau,None,0,0,0,0,0,0
09779129,Daiting,0,1,1,1,1,1,1
09779126,Buchdorf,10,0,1,1,1,1,1
09177133,Oberding,None,0,0,0,0,0,0
09779197,Oettingen i. Bay.,100,0,0,0,0,0,1
09186139,Münchsmünster,None,0,0,0,0,0,0
09779185,Möttingen,50,0,0,0,0,1,1
09775134,Nersingen,None,0,0,0,0,0,0
09773112,Bachhagel,100,0,0,0,0,0,1
08136029,Heuchlingen,None,0,0,0,0,0,0
09181139,Schondorf am Ammersee,None,0,0,0,0,0,0
09571198,Schillingsfürst,100,0,0,0,0,0,1
09181123,Greifenberg,None,0,0,0,0,0,0
09173130,Icking,None,0,0,0,0,0,0
09180124,Murnau a. Staffelsee,None,0,0,0,0,0,0
09175135,Poing,None,0,0,0,0,0,0
09772149,Graben,100,0,0,0,0,0,1
16077042,Rositz,100,0,0,0,0,0,1
09171114,Emmerting,None,0,0,0,0,0,0
09189150,Taching a. See,None,0,0,0,0,0,0
09278146,Leiblfing,None,0,0,0,0,0,0
09376125,Fensterbach,None,0,0,0,0,0,0
09271151,Stephansposching,None,0,0,0,0,0,0
09183118,Gars a. Inn,None,0,0,0,0,0,0
16077027,Lödla,100,0,0,0,0,0,1
09276122,Geiersthal,None,0,0,0,0,0,0
09187145,Höslwang,None,0,0,0,0,0,0
09376164,Schwarzhofen,None,0,0,0,0,0,0
09189149,Tacherting,None,0,0,0,0,0,0
09377159,Wiesau,None,0,0,0,0,0,0
09171133,Tüßling,None,0,0,0,0,0,0
09187139,Halfing,None,0,0,0,0,0,0
09574120,Engelthal,30,0,0,0,1,1,1
09371151,Sulzbach-Rosenberg,100,0,0,0,0,0,1
09474173,Weißenohe,10,0,1,1,1,1,1
09572149,Röttenbach,50,0,0,0,0,1,1
09674133,Eltmann,100,0,0,0,0,0,1
09472190,Speichersdorf,100,0,0,0,0,0,1
16073049,Lichte,50,0,0,0,0,1,1
16075004,Blankenstein,30,0,0,0,1,1,1
16073056,Meuselbach-Schwarzmühle,100,0,0,0,0,0,1
16067022,Friemar,None,0,0,0,0,0,0
16073109,Uhlstädt-Kirchhasel,20,0,0,1,1,1,1
16067008,Crawinkel,100,0,0,0,0,0,1
16074029,Großbockedra,0,1,1,1,1,1,1
09677193,Urspringen,50,0,0,0,0,1,1
08125063,Möckmühl,10,0,1,1,1,1,1
09671150,Sailauf,100,0,0,0,0,0,1
09671133,Johannesberg,None,0,0,0,0,0,0
09677166,Neustadt a. Main,100,0,0,0,0,0,1
09679201,Unterpleichfeld,0,1,1,1,1,1,1
09677142,Himmelstadt,30,0,0,0,1,1,1
08127047,Langenburg,50,0,0,0,0,1,1
09676169,Wörth a. Main,None,0,0,0,0,0,0
08225082,Rosenberg,30,0,0,0,1,1,1
09678160,Niederwerrn,0,1,1,1,1,1,1
06435018,Linsengericht,100,0,0,0,0,0,1
09678178,Sennfeld,10,0,1,1,1,1,1
09677133,Gräfendorf,30,0,0,0,1,1,1
08117011,Börtlingen,None,0,0,0,0,0,0
08117015,Donzdorf,None,0,0,0,0,0,0
08119093,Kernen im Remstal,100,0,0,0,0,0,1
08118060,Oberstenfeld,50,0,0,0,0,1,1
08116080,Ostfildern,100,0,0,0,0,0,1
08118067,Schwieberdingen,100,0,0,0,0,0,1
08415048,Mehrstetten,None,0,0,0,0,0,0
08118070,Steinheim an der Murr,50,0,0,0,0,1,1
08125110,Obersulm,20,0,0,1,1,1,1
08119003,Allmersbach im Tal,100,0,0,0,0,0,1
08125094,Talheim,20,0,0,1,1,1,1
08416041,Tübingen,None,0,0,0,0,0,0
09176138,Kipfenberg,50,0,0,0,0,1,1
08116079,Lenningen,None,0,0,0,0,0,0
08416022,Kirchentellinsfurt,None,0,0,0,0,0,0
08116020,Frickenhausen,None,0,0,0,0,0,0
08136040,Leinzell,None,0,0,0,0,0,0
08119024,Großerlach,50,0,0,0,0,1,1
08119044,Murrhardt,100,0,0,0,0,0,1
08125001,Abstatt,30,0,0,0,1,1,1
08116068,Unterensingen,None,0,0,0,0,0,0
08125021,Eberstadt,10,0,1,1,1,1,1
08136044,Mutlangen,None,0,0,0,0,0,0
08119006,Auenwald,100,0,0,0,0,0,1
08125059,Löwenstein,30,0,0,0,1,1,1
08127056,Michelbach an der Bilz,100,0,0,0,0,0,1
08425139,Heroldstatt,None,0,0,0,0,0,0
08116036,Kohlberg,None,0,0,0,0,0,0
08116015,Denkendorf,100,0,0,0,0,0,1
08119061,Rudersberg,100,0,0,0,0,0,1
08116047,Neuhausen auf den Fildern,None,0,0,0,0,0,0
08117029,Hattenhofen,None,0,0,0,0,0,0
08117049,Süßen,None,0,0,0,0,0,0
08117002,Aichelberg,None,0,0,0,0,0,0
08415078,Bad Urach,None,0,0,0,0,0,0
08117028,Gruibingen,None,0,0,0,0,0,0
08417010,Bitz,None,0,0,0,0,0,0
08117043,Schlat,None,0,0,0,0,0,0
08117038,Rechberghausen,None,0,0,0,0,0,0
08118051,Möglingen,100,0,0,0,0,0,1
08415089,Engstingen,None,0,0,0,0,0,0
08425017,Berghülen,None,0,0,0,0,0,0
08127079,Sulzbach-Laufen,100,0,0,0,0,0,1
08415093,St. Johann,None,0,0,0,0,0,0
08136027,Gschwend,100,0,0,0,0,0,1
08116078,Leinfelden-Echterdingen,100,0,0,0,0,0,1
08117006,Bad Ditzenbach,None,0,0,0,0,0,0
08117023,Gammelshausen,None,0,0,0,0,0,0
08119068,Schwaikheim,100,0,0,0,0,0,1
08119041,Korb,100,0,0,0,0,0,1
08136042,Lorch,None,0,0,0,0,0,0
08118063,Pleidelsheim,50,0,0,0,0,1,1
08125056,Lauffen am Neckar,10,0,1,1,1,1,1
08125024,Ellhofen,20,0,0,1,1,1,1
08118079,Bietigheim-Bissingen,50,0,0,0,0,1,1
08119084,Welzheim,100,0,0,0,0,0,1
08117044,Schlierbach,None,0,0,0,0,0,0
08127099,Wolpertshausen,50,0,0,0,0,1,1
08117033,Kuchen,None,0,0,0,0,0,0
08119086,Winterbach,100,0,0,0,0,0,1
08115046,Steinenbronn,None,0,0,0,0,0,0
08116050,Oberboihingen,None,0,0,0,0,0,0
08126011,Bretzfeld,20,0,0,1,1,1,1
08119004,Althütte,100,0,0,0,0,0,1
08117051,Uhingen,None,0,0,0,0,0,0
08136024,Göggingen,None,0,0,0,0,0,0
08125057,Lehrensteinsfeld,20,0,0,1,1,1,1
08118007,Besigheim,30,0,0,0,1,1,1
08116008,Bempflingen,None,0,0,0,0,0,0
08115044,Schönaich,None,0,0,0,0,0,0
08125096,Untereisesheim,10,0,1,1,1,1,1
