AGS,year,Land,post_2010,post_2014,Union,SPD,Grüne,FDP,Linke,Andere
09189137,2018,BY,1,1,46.59498207885305,2.4193548387096775,17.025089605734767,3.136200716845878,2.4193548387096775,28.49462365591398
09189139,2008,BY,0,0,54.7787610619469,10.442477876106194,9.380530973451327,8.672566371681416,1.415929203539823,15.398230088495577
09189139,2013,BY,1,0,64.92851135407905,8.746846089150546,5.971404541631623,1.9343986543313711,1.5138772077375946,17.073170731707318
09189139,2018,BY,1,1,47.42351046698873,4.911433172302738,14.090177133655393,4.025764895330113,2.49597423510467,27.133655394524958
09189140,2008,BY,0,0,45.659844742413554,16.16090331686662,15.067043048694426,6.986591390261116,2.7522935779816518,13.40860973888497
09189140,2013,BY,1,0,57.874762808349146,14.263124604680582,9.13978494623656,2.624920936116382,1.2333965844402277,14.89563567362429
09189140,2018,BY,1,1,43.28318108543794,7.684040838259,16.281569048898444,3.5464803868887693,2.14938205265986,27.082213863514237
09189141,2008,BY,0,0,49.35064935064935,10.861865407319952,11.334120425029516,8.500590318772137,4.250295159386068,15.820543093270366
09189141,2013,BY,1,0,57.233368532206974,13.51636747624076,9.292502639915522,3.062302006335797,2.3231256599788805,14.783526927138332
09189141,2018,BY,1,1,42.30769230769231,7.417582417582418,17.307692307692307,3.296703296703297,2.838827838827839,26.923076923076923
09189142,2008,BY,0,0,48.181238034460755,11.86981493299298,13.018506700701979,5.360561582641991,2.9993618379068283,18.634333120612638
09189142,2013,BY,1,0,57.263990955342,13.227812323346525,9.779536461277557,1.8089315997738835,1.4697569248162803,16.506500847936685
09189142,2018,BY,1,1,41.470311027332706,5.607917059377946,17.295004712535345,2.9217719132893496,2.827521206409048,29.971724787935912
09189143,2008,BY,0,0,42.86975717439294,10.331125827814569,17.26269315673289,6.710816777041943,2.693156732891832,20.1766004415011
09189143,2013,BY,1,0,52.51141552511416,13.24200913242009,11.664591116645912,2.82274802822748,1.2453300124533,18.513906185139064
09189143,2018,BY,1,1,37.85738890802618,6.062693765070617,21.460558043403378,2.9624526352049605,3.100241129865656,28.62555976575956
09189145,2008,BY,0,0,42.76898309632412,12.181379125301852,18.620874698148647,6.49315803595385,2.8441105446740003,17.11832573115106
09189145,2013,BY,1,0,49.613339777670376,12.4939584340261,10.14983083615273,2.0541324311261477,1.2808119864668923,24.456259062348963
09189145,2018,BY,1,1,38.29385872982603,7.294068329490673,17.31293229930832,3.1649549360721023,2.3055963110459023,31.670509327185076
09189146,2008,BY,0,0,36.52007648183556,14.340344168260039,13.38432122370937,7.45697896749522,3.824091778202677,24.665391969407267
09189146,2013,BY,1,0,51.27768313458262,14.991482112436117,9.028960817717206,1.8739352640545146,0.8517887563884157,22.14650766609881
09189146,2018,BY,1,1,37.010159651669085,6.2409288824383164,16.835994194484762,3.9187227866473147,1.4513788098693758,34.68795355587808
09189148,2008,BY,0,0,36.96969696969697,9.764309764309765,23.03030303030303,6.4646464646464645,3.5690235690235688,20.26936026936027
09189148,2013,BY,1,0,51.63983303518187,13.595706618962433,14.430530709600479,2.564102564102564,1.311866428145498,16.57722122838402
09189148,2018,BY,1,1,37.735849056603776,6.60377358490566,21.49950347567031,3.723932472691162,2.6812313803376364,27.805362462760673
09189149,2008,BY,0,0,49.85386221294363,12.860125260960334,13.736951983298539,4.050104384133612,2.8810020876826723,16.701461377870565
09189149,2013,BY,1,0,60.52431610942249,15.387537993920972,7.9407294832826745,1.1778115501519757,1.0638297872340425,13.943768996960488
09189149,2018,BY,1,1,43.77224199288256,8.637981235846004,12.746683921061145,3.1381429957942415,1.8440634098997088,29.925590423811066
09189150,2008,BY,0,0,43.282051282051285,8.102564102564102,29.230769230769234,5.846153846153846,1.641025641025641,12.0
09189150,2013,BY,1,0,56.79012345679012,11.301044634377968,13.010446343779677,1.3295346628679963,1.4245014245014245,16.23931623931624
09189150,2018,BY,1,1,39.25455987311658,7.216494845360824,19.032513877874703,2.9341792228390164,2.6169706582077716,29.103885804916736
09189152,2008,BY,0,0,42.555685814771394,10.199296600234467,26.06486908948808,3.985932004689332,2.9308323563892147,14.302461899179367
09189152,2013,BY,1,0,54.413328606877,15.242821694434596,10.705423608649415,1.2761432116270826,1.5242821694434598,16.87344913151365
09189152,2018,BY,1,1,42.22222222222222,7.269841269841269,17.746031746031747,2.761904761904762,2.0952380952380953,27.96825396825397
09189154,2008,BY,0,0,46.7204843592331,15.251549661236846,14.646100619864495,5.045408678102927,4.5841141703906585,13.752342511171978
09189154,2013,BY,1,0,55.648258508806784,16.89842404979473,9.058402860548272,1.7348695537014964,2.4764931797112966,14.183551847437425
